M,L,MON,LDC_SST_NCEP_CFSv2
1,1.5,0000 1 Jan 1991,26.67566
2,1.5,0000 1 Jan 1991,26.4767
3,1.5,0000 1 Jan 1991,26.66554
4,1.5,0000 1 Jan 1991,26.90427
5,1.5,0000 1 Jan 1991,27.02461
6,1.5,0000 1 Jan 1991,26.89824
7,1.5,0000 1 Jan 1991,27.0683
8,1.5,0000 1 Jan 1991,26.90257
9,1.5,0000 1 Jan 1991,27.08338
10,1.5,0000 1 Jan 1991,26.83097
11,1.5,0000 1 Jan 1991,26.81014
12,1.5,0000 1 Jan 1991,26.86177
13,1.5,0000 1 Jan 1991,27.07758
14,1.5,0000 1 Jan 1991,26.95112
15,1.5,0000 1 Jan 1991,26.87062
16,1.5,0000 1 Jan 1991,26.88166
17,1.5,0000 1 Jan 1991,26.66514
18,1.5,0000 1 Jan 1991,26.74825
19,1.5,0000 1 Jan 1991,26.9472
20,1.5,0000 1 Jan 1991,26.97649
21,1.5,0000 1 Jan 1991,26.75822
22,1.5,0000 1 Jan 1991,26.72523
23,1.5,0000 1 Jan 1991,26.42271
24,1.5,0000 1 Jan 1991,26.52458
1,2.5,0000 1 Jan 1991,26.8623
2,2.5,0000 1 Jan 1991,26.71926
3,2.5,0000 1 Jan 1991,26.63304
4,2.5,0000 1 Jan 1991,27.08003
5,2.5,0000 1 Jan 1991,27.44796
6,2.5,0000 1 Jan 1991,27.09461
7,2.5,0000 1 Jan 1991,27.41151
8,2.5,0000 1 Jan 1991,27.21189
9,2.5,0000 1 Jan 1991,27.19951
10,2.5,0000 1 Jan 1991,27.02059
11,2.5,0000 1 Jan 1991,27.14059
12,2.5,0000 1 Jan 1991,26.93781
13,2.5,0000 1 Jan 1991,27.49208
14,2.5,0000 1 Jan 1991,27.26113
15,2.5,0000 1 Jan 1991,27.06559
16,2.5,0000 1 Jan 1991,27.22167
17,2.5,0000 1 Jan 1991,26.69554
18,2.5,0000 1 Jan 1991,26.88739
19,2.5,0000 1 Jan 1991,27.31859
20,2.5,0000 1 Jan 1991,27.27568
21,2.5,0000 1 Jan 1991,26.92877
22,2.5,0000 1 Jan 1991,26.98045
23,2.5,0000 1 Jan 1991,26.52408
24,2.5,0000 1 Jan 1991,26.52409
1,3.5,0000 1 Jan 1991,27.32797
2,3.5,0000 1 Jan 1991,27.31071
3,3.5,0000 1 Jan 1991,27.03232
4,3.5,0000 1 Jan 1991,27.3998
5,3.5,0000 1 Jan 1991,28.18642
6,3.5,0000 1 Jan 1991,27.59471
7,3.5,0000 1 Jan 1991,27.97939
8,3.5,0000 1 Jan 1991,27.64123
9,3.5,0000 1 Jan 1991,27.40757
10,3.5,0000 1 Jan 1991,27.52175
11,3.5,0000 1 Jan 1991,27.85042
12,3.5,0000 1 Jan 1991,27.2871
13,3.5,0000 1 Jan 1991,28.16973
14,3.5,0000 1 Jan 1991,27.80395
15,3.5,0000 1 Jan 1991,27.34511
16,3.5,0000 1 Jan 1991,27.83398
17,3.5,0000 1 Jan 1991,27.05725
18,3.5,0000 1 Jan 1991,27.28658
